2025-06-21 09:48:05 | ERROR | app.main:lifespan:52 | Failed to initialize database: (psycopg2.OperationalError) connection to server at "localhost" (::1), port 5432 failed: Connection refused
	Is the server running on that host and accepting TCP/IP connections?
connection to server at "localhost" (127.0.0.1), port 5432 failed: Connection refused
	Is the server running on that host and accepting TCP/IP connections?

(Background on this error at: https://sqlalche.me/e/20/e3q8)
2025-06-21 09:48:10 | ERROR | app.main:lifespan:52 | Failed to initialize database: (psycopg2.OperationalError) connection to server at "localhost" (::1), port 5432 failed: Connection refused
	Is the server running on that host and accepting TCP/IP connections?
connection to server at "localhost" (127.0.0.1), port 5432 failed: Connection refused
	Is the server running on that host and accepting TCP/IP connections?

(Background on this error at: https://sqlalche.me/e/20/e3q8)
2025-06-21 09:48:12 | ERROR | app.main:lifespan:52 | Failed to initialize database: (psycopg2.OperationalError) connection to server at "localhost" (::1), port 5432 failed: Connection refused
	Is the server running on that host and accepting TCP/IP connections?
connection to server at "localhost" (127.0.0.1), port 5432 failed: Connection refused
	Is the server running on that host and accepting TCP/IP connections?

(Background on this error at: https://sqlalche.me/e/20/e3q8)
2025-06-21 12:11:10 | INFO | app.main:log_requests:143 | GET /api/v1/auth/me
2025-06-21 12:11:10 | INFO | app.main:log_requests:145 | GET /api/v1/auth/me - 200
2025-06-21 12:11:21 | INFO | app.main:log_requests:143 | GET /api/v1/auth/me
2025-06-21 12:11:21 | INFO | app.main:log_requests:145 | GET /api/v1/auth/me - 200
2025-06-21 12:21:29 | INFO | app.main:log_requests:143 | GET /api/v1/auth/preferences
2025-06-21 12:21:29 | ERROR | app.main:http_exception_handler:87 | HTTP Exception: 401 - Could not validate credentials
2025-06-21 12:21:29 | INFO | app.main:log_requests:145 | GET /api/v1/auth/preferences - 401
2025-06-21 12:21:44 | INFO | app.main:log_requests:143 | POST /api/v1/auth/login
2025-06-21 12:21:44 | INFO | app.main:log_requests:145 | POST /api/v1/auth/login - 200
2025-06-21 12:22:04 | INFO | app.main:log_requests:143 | GET /api/v1/auth/preferences
2025-06-21 12:22:04 | INFO | app.main:log_requests:145 | GET /api/v1/auth/preferences - 200
2025-06-21 12:22:23 | INFO | app.main:log_requests:143 | PUT /api/v1/auth/preferences
2025-06-21 12:22:23 | INFO | app.main:log_requests:145 | PUT /api/v1/auth/preferences - 200
2025-06-21 12:22:46 | INFO | app.main:log_requests:143 | PUT /api/v1/auth/preferences
2025-06-21 12:22:46 | INFO | app.main:log_requests:145 | PUT /api/v1/auth/preferences - 200
2025-06-21 12:22:52 | INFO | app.main:log_requests:143 | GET /api/v1/auth/preferences
2025-06-21 12:22:52 | INFO | app.main:log_requests:145 | GET /api/v1/auth/preferences - 200
2025-06-21 12:26:07 | INFO | app.main:lifespan:60 | Shutting down Personal Finance API...
2025-06-21 12:26:08 | INFO | app.main:lifespan:50 | Database initialized successfully
2025-06-21 12:26:08 | INFO | app.main:lifespan:55 | Personal Finance API started successfully
